"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
3527,"Baross Gábor           ","út",,0,,0,
3531,"Bársony János          ","utca",,0,,0,
3519,"Bártfai                ","utca       ","Tapolca",0,,0,
3530,"Bartók Béla            ","tér",,0,,0,
3535,"Bartók Béla            ","utca",,0,,0,
3533,"Báthori                ","sor",,0,,0,
3531,"Báthori István         ","utca",,0,,0,
3535,"Batsányi János         ","utca",,0,,0,
3533,"Batthyány              ","sor",,0,,0,
3525,"Batthyány Lajos        ","utca",,0,,0,
3525,"Bedeghvölgy            ","utca",,0,,0,
3525,"Bedegvölgy             ","dűlő",,0,,0,
3535,"Béke                   ","utca",,0,,0,
3535,"Békés                  ","utca",,0,,0,
3531,"Békeszálló             ","telep",,0,,0,
3531,"Béla                   ","utca",,0,,0,
3518,"Bellervölgy","utca","Pereces",0,,0,
3529,"Bem József             ","utca",,0,,0,
3519,"Bencés                 ","utca",,0,,0,
3519,"Bencések               ","útja     ","Tapolca",0,,0,
3521,"Benczúr Gyula          ","utca       ","Szirma",0,,0,
3534,"Benedek Elek           ","utca",,0,,0,
3508,"Benedekalja            ","utca",,0,,0,
3508,"Beniczky Lajos         ","utca",,0,,0,
3529,"Benke József           ","utca",,0,,0,
3528,"Benkő Sámuel           ","utca",,0,,0,
3525,"Bércalja               ","utca",,0,,0,
3531,"Bercsényi Miklós       ","utca",,0,,0,
3519,"Beregi                 ","utca       ","Tapolca",0,,0,
3535,"Berekalja              ","utca",,0,,0,
3521,"Berekkert              ","utca",,0,,0,
3528,"Berettyó               ","utca",,0,,0,
3535,"Berkenye               ","utca",,0,,0,
3534,"Bertalan               ","utca",,0,,0,
3528,"Berzsenyi Dániel       ","utca",,0,,0,
3527,"Besenyői               ","utca",,0,,0,
3526,"Bethlen Gábor          ","utca",,0,,0,
3529,"Bezerédi István        ","utca",,0,,0,
3530,"Bihari János           ","utca",,0,,0,
3518,"Bimbó                  ","utca       ","Pereces",0,,0,
3532,"Bíró                   ","utca",,0,,0,
3516,"Bizony Ákos            ","utca",,0,,0,
3534,"Blaha Lujza            ","utca",,0,,0,
3526,"Blaskovics László      ","utca",,0,,0,
3529,"Bocskai István         ","utca",,0,,0,
3531,"Bodó                   ","sor",,0,,0,
3528,"Bodrog                 ","utca",,0,,0,
3534,"Bodrogi Zsigmond       ","utca",,0,,0,
3518,"Bodza                  ","utca       ","Pereces",0,,0,
3521,"Bogáncs                ","utca       ","Szirma",0,,0,
3508,"Boglárka               ","utca",,0,,0,
3508,"Bognár                 ","utca       ","Görömböly",0,,0,
3532,"Bokréta                ","utca",,0,,0,
3519,"Bokros                 ","utca       ","Tapolca",0,,0,
3534,"Boldog                 ","utca",,0,,0,
3527,"Boldva                 ","utca",,0,,0,
3518,"Bollóalja              ","utca","Pereces",0,,0,
3533,"Bólyai Farkas          ","utca",,0,,0,
3527,"Bólyai János           ","utca",,0,,0,
3516,"Borbély                ","utca",,0,,0,
3528,"Bornemissza Gergely    ","utca",,0,,0,
3534,"Boróka                 ","utca",,0,,0,
3525,"Borostyán              ","utca",,0,,0,
3530,"Bors vezér             ","utca",,0,,0,
3526,"Botond                 ","utca",,0,,0,
3529,"Bottyán János          ","utca",,0,,0,
3535,"Bölcs                  ","utca",,0,,0,
3532,"Böngér                 ","utca",,0,,0,
3525,"Börzsöny               ","utca",,0,,0,
3519,"Branyiszkó             ","utca       ","Tapolca",0,,0,
3519,"Brassói                ","utca       ","Tapolca",0,,0,
3532,"Brigád                 ","utca",,0,,0,
3535,"Bródy Sándor           ","utca",,0,,0,
3501,"Bruckner               ","tanya",,0,,0,
3525,"Bruckner Győző         ","utca",,0,,0,
3529,"Budai József           ","utca",,0,,0,
3534,"Budai Nagy Antal       ","utca",,0,,0,
3526,"Bulcsu                 ","utca",,0,,0,
3526,"Búza                   ","tér",,0,,0,
3510,"Búzavirág","út","Lyukó",0,,0,
3525,"Búzavirág              ","utca",,0,,0,
3527,"Buzogány               ","utca",,0,,0,
3535,"Bükk                   ","utca",,0,,0,
3508,"Cement                 ","utca",,0,,0,
3508,"Cementgyári            ","utca",,0,,0,
3534,"Cinka Panna            ","utca",,0,,0,
3530,"Corvin                 ","utca",,0,,0,
3530,"Csabai                 ","sor",,0,,0,
3519,"Csabai                 ","utca       ","Tapolca",0,,0,
3519,"Csabai                 ","út       ","Tapolca",0,,0,
3529,"Csabai kapu","kapu",,0,,0,
3508,"Csabavezér             ","út",,0,,0,
3518,"Csáby Lajos            ","utca       ","Pereces",0,,0,
3518,"Csajkovszkij           ","utca       ","Pereces",0,,0,
3534,"Csákány                ","utca",,0,,0,
3530,"Csalogány              ","utca",,0,,0,
3535,"Csanyik","völgy",,0,,0,
3535,"Csanyik                ","utca",,0,,0,
3530,"Csáti                  ","sor",,0,,0,
3525,"Csattos                ","hegy",,0,,0,
3534,"Csavar                 ","utca",,0,,0,
3518,"Csehov                 ","utca       ","Pereces",0,,0,
3528,"Csele                  ","utca",,0,,0,
3535,"Csemete                ","utca",,0,,0,
3508,"Csemetekert            ","utca",,0,,0,
3535,"Csendes                ","utca",,0,,0,
3530,"Csengey Gusztáv        ","utca",,0,,0,
3516,"Cserép                 ","utca       ","Görömböly",0,,0,
3510,"Cseresznyés","út","Pereces",0,,0,
3508,"Cseresznyés            ","utca",,0,,0,
3533,"Cserfa                 ","utca",,0,,0,
3525,"Cserhát                ","utca",,0,,0,
3535,"Cserje                 ","utca",,0,,0,
3516,"Csermák Antal          ","utca       ","Görömböly",0,,0,
3525,"Csermely               ","utca",,0,,0,
3510,"Csermőke",,,0,,0,
3515,"Csermőke               ","dűlő",,0,,0,
3533,"Csermőkei              ","út",,0,,0,
3518,"Csernaj",,,0,,0,
3518,"Cséti Ottó             ","utca       ","Pereces",0,,0,
3531,"Csillag                ","utca",,0,,0,
3534,"Csille                 ","utca",,0,,0,
3535,"Csipkés                ","utca",,0,,0,
3534,"Csipkevirág ","utca",,0,,0,
3530,"Csizmadia              ","köz",,0,,0,
3519,"Csizmadia              ","utca",,0,,0,
3535,"Csóka                  ","utca",,0,,0,
3528,"Csokonai Vitéz Mihály  ","utca",,0,,0,
3530,"Csonka                 ","sor",,0,,0,
3528,"Csonka János           ","utca",,0,,0,
3527,"Csorba                 ","telep",,0,,0,
3534,"Csortos Gyula          ","utca",,0,,0,
3516,"Cukrász                ","utca       ","Görömböly",0,,0,
3518,"Dalárda                ","utca","Pereces",0,,0,
3510,"Dália","út","Szarkahegy",0,,0,
3508,"Dália                  ","utca",,0,,0,
3531,"Damjanich János        ","utca",,0,,0,
3530,"Dankó Pista            ","utca",,0,,0,
3510,"Danlos",,,0,,0,
3531,"Danyi völgy","völgy",,0,,0,
3516,"Dapsy László           ","utca       ","Görömböly",0,,0,
3532,"Daru                   ","utca",,0,,0,
3525,"Dayka Gábor            ","utca",,0,,0,
3525,"Deák Ferenc            ","tér",,0,,0,
3516,"Deák Ferenc            ","utca       ","Görömböly",0,,0,
3518,"Debreceni Márton       ","tér      ","Pereces",0,,0,
3519,"Dehmel Nándor          ","sétány   ","Tapolca",0,,0,
3516,"Déli                   ","utca       ","Görömböly",0,,0,
3519,"Denevér                ","utca       ","Tapolca",0,,0,
3529,"Derkovits Gyula        ","utca",,0,,0,
3525,"Déryné                 ","utca",,0,,0,
3519,"Dési Huber István      ","utca       ","Tapolca",0,,0,
3529,"Dessewffy Arisztid     ","utca",,0,,0,
3515,"Dimitrov-hegy","hegy",,0,,0,
3534,"Diófa                  ","utca",,0,,0,
3531,"Dobó István            ","utca",,0,,0,
3529,"Dobozy Mihály          ","utca",,0,,0,
3525,"Dóczy József           ","utca",,0,,0,
3508,"Dohány                 ","utca",,0,,0,
3531,"Domb                   ","utca",,0,,0,
3534,"Dorottya               ","utca",,0,,0,
3525,"Dózsa György           ","út",,0,,0,
3528,"Dráva                  ","utca",,0,,0,
3529,"Dugonics András        ","utca",,0,,0,
3528,"Duna                   ","utca",,0,,0,
