"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
4225,"Boglárka                 ","utca","Józsa",0,,0,
4032,"Bognár Rezső ","utca",,0,,0,
4031,"Bojta                    ","utca",,0,,0,
4002,"Bojtár                   ","utca",,0,,0,
4031,"Bojtorján","utca",,0,,0,
4029,"Boka Károly              ","utca",,0,,0,
4031,"Bokréta","utca",,0,,0,
4031,"Bokréta                  ","utca",,0,,0,
4002,"Bokros","utca",,0,,0,
4025,"Boldogfalva              ","utca",,0,,0,
4030,"Boldogkert               ","utca",,0,,0,
4032,"Bólyai                   ","utca",,0,,0,
4225,"Bondorhát                ","utca","Józsa",0,,0,
4002,"Borágó","utca",,0,,0,
4032,"Borbíró                  ","tér",,0,,0,
4002,"Borbolya","utca",,0,,0,
4033,"Borház","utca",,0,,0,
4031,"Bornemissza              ","utca",,0,,0,
4030,"Boróka                   ","utca",,0,,0,
4002,"Boros","utca",,0,,0,
4002,"Borsika","utca",,0,,0,
4002,"Borsmenta","utca",,0,,0,
4027,"Borsos József            ","tér",,0,,0,
4030,"Borsovai                 ","utca",,0,,0,
4002,"Borszőlő","utca",,0,,0,
4026,"Borz                     ","utca",,0,,0,
4030,"Borzán Gáspár            ","utca",,0,,0,
4002,"Boszorkányfű","utca",,0,,0,
4028,"Botond                   ","utca",,0,,0,
4027,"Bölcs                    ","utca",,0,,0,
4034,"Böllér                   ","utca",,0,,0,
4002,"Bőralma","utca",,0,,0,
4027,"Böszörményi              ","út",,1,,37,
4027,"Böszörményi              ","út",,2,,66,
4032,"Böszörményi              ","út",,-3,,0,
4032,"Branyiszkó               ","utca",,0,,0,
4024,"Budai Ézsaiás             ","utca",,1,,9,
4024,"Budai Ézsaiás             ","utca",,2,,4,
4030,"Budai Ézsaiás             ","utca",,-3,,0,
4033,"Budai Nagy Antal         ","utca",,-3,,0,
4034,"Budai Nagy Antal         ","utca",,1,,75,
